event_id,event_label,kind,date,level_no,price,forward_return_5d_pct,forward_return_10d_pct,forward_return_20d_pct,eventual_fill,delay_bars,lower_price_reentry
2011-06,2011 Debt Ceiling,delayed,2010-08-26,1,0.32,12.5,21.88,50,true,2,false
2011-06,2011 Debt Ceiling,blocked,2010-06-30,1,0.31,9.68,22.58,22.58,false,,false
2011-06,2011 Debt Ceiling,blocked,2010-08-24,1,0.32,0,18.75,40.63,false,,false
2020-02,2020 Covid Crash,delayed,2018-12-26,1,4.07,-5.41,16.95,24.82,true,1,false
2020-02,2020 Covid Crash,delayed,2020-03-27,3,5.03,-4.17,27.63,49.7,true,4,true
2020-02,2020 Covid Crash,delayed,2020-04-01,3,4.74,30.38,55.91,67.09,false,,false
2020-02,2020 Covid Crash,blocked,2018-11-20,1,4.8,18.33,13.54,-14.17,true,24,true
2020-02,2020 Covid Crash,blocked,2018-11-23,1,4.8,19.58,5.63,-28.33,true,22,true
2020-02,2020 Covid Crash,blocked,2018-12-17,1,4.55,-24.4,-6.37,6.59,true,7,true
2021-12,2022 Fed Bear,delayed,2022-03-11,2,33.79,25.57,34.45,22.43,true,2,false
2021-12,2022 Fed Bear,delayed,2022-05-13,3,25.24,-13.55,5.27,-27.02,true,1,true
2021-12,2022 Fed Bear,blocked,2022-01-27,1,41.14,10.06,14.1,0.7,true,32,true
2021-12,2022 Fed Bear,blocked,2022-03-07,2,34.09,-6.69,23.58,44.09,true,49,true
2021-12,2022 Fed Bear,blocked,2022-03-14,2,31.81,32.44,49.32,20.81,true,44,true
2021-12,2022 Fed Bear,blocked,2022-05-06,3,27.62,-8.62,-21,-5.97,true,6,true
