event,engine,engine_label,snapback_window_start_bar,snapback_window_end_bar,snapback_window_days,snapback_avg_exposure,snapback_max_exposure,snapback_total_deploy,snapback_buy_count,first_snapback_buy_bar,snapback_capture_score
2011 Debt Ceiling,explainable_v1.3,Explainable VR v1,8,9,2,97.59,97.61,0,0,,0.39
2011 Debt Ceiling,explainable_v1.5,Explainable VR v1,8,9,2,97.59,97.61,0,0,,0.39
2011 Debt Ceiling,vr_original_v2,VR Original V2 (Benchmark),8,9,2,94.14,94.19,0,0,,0.377
2020 Covid Crash,explainable_v1.3,Explainable VR v1,5,6,2,32.05,39.14,0,0,,0.128
2020 Covid Crash,explainable_v1.5,Explainable VR v1,5,6,2,32.05,39.14,0,0,,0.128
2020 Covid Crash,vr_original_v2,VR Original V2 (Benchmark),5,6,2,99.97,99.97,0,0,,0.4
2022 Fed Bear,explainable_v1.3,Explainable VR v1,3,4,2,67.19,67.58,0,0,,0.269
2022 Fed Bear,explainable_v1.5,Explainable VR v1,3,4,2,67.19,67.58,0,0,,0.269
2022 Fed Bear,vr_original_v2,VR Original V2 (Benchmark),3,4,2,95.86,95.93,0,0,,0.383
2025 Tariff Shock,explainable_v1.3,Explainable VR v1,4,5,2,53.12,53.38,0,0,,0.212
2025 Tariff Shock,explainable_v1.5,Explainable VR v1,4,5,2,53.12,53.38,0,0,,0.212
2025 Tariff Shock,vr_original_v2,VR Original V2 (Benchmark),4,5,2,95.06,95.11,0,0,,0.38
